Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category
LS99,office items,Link,Link,1,Vocabulary
LS100,Life activities indoors or outdoors,Link,Link,1,Vocabulary
LS101,vehicle ,Link,Link,1,Vocabulary
LS102,shopping and stores,Link,Link,1,Vocabulary
LS103,Household items,Link,Link,1,Vocabulary
LS104,Construction,Link,Link,1,Vocabulary
LS105,Verbs and verb phrases indicate actions of whole body,Link,Link,1,Vocabulary
LS106,Verbs and verb phrases indicate actions of hands and arms,Link,Link,1,Vocabulary
LS107,Verbs and verb phrases indicate actions of eyes,Link,Link,1,Vocabulary
LS108,Verbs and verb phrases indicate actions of legs and feet,Link,Link,1,Vocabulary
LS109,Verbs and verb phrases indicate actions of mouth,Link,Link,1,Vocabulary
LS110,Clothes and fashion,Link,Link,1,Vocabulary
LS111,Directions and prepositions of place,Link,Link,1,Vocabulary
LS112,Work and Employment,Link,Link,1,Vocabulary
LS113,Business and Finance,Link,Link,1,Vocabulary
LS114,Travel and Tourist,Link,Link,1,Vocabulary
LS115,Transportation,Link,Link,1,Vocabulary
LS116,Education and Training,Link,Link,1,Vocabulary
LS117,Health and Well-being,Link,Link,1,Vocabulary
LS118,"Computer , Technology and Communication",Link,Link,1,Vocabulary
LS119,Environment and Sustainability,Link,Link,1,Vocabulary
LS120,Entertainment,Link,Link,1,Vocabulary
LS121,shopping and stores,Link,Link,1,Vocabulary
LS122,Housing and Real Estate,Link,Link,1,Vocabulary
LS123,Human Resource,Link,Link,1,Vocabulary
LS124,Interview,Link,Link,1,Vocabulary
LS125,Product Descriptions,Link,Link,1,Vocabulary
LS126,Conference,Link,Link,1,Vocabulary
LS127,Airport,Link,Link,1,Vocabulary
LS128,Hospital,Link,Link,1,Vocabulary
LS129,Company construction,Link,Link,1,Vocabulary
LS130,Appointments & Work schedule,Link,Link,1,Vocabulary
LS131,Sales,Link,Link,1,Vocabulary
LS132,Customer Service,Link,Link,1,Vocabulary
LS113,"Business , Finance and Accounting",Link,Link,1,Vocabulary
LS133,Marketing and Advertising,Link,Link,1,Vocabulary
LS133,Project Management,Link,Link,1,Vocabulary
LS134,Company Activities,Link,Link,1,Vocabulary
LS123,Human Resources,Link,Link,1,Vocabulary
LS135,Manufacturing and Production,Link,Link,1,Vocabulary
LS136,Business Ethics,Link,Link,1,Vocabulary
LS137,Employment and Careers,Link,Link,1,Vocabulary
LS138,Workplace Issues,Link,Link,1,Vocabulary
LS139,Leadership,Link,Link,1,Vocabulary
LS140, Company Performance,Link,Link,1,Vocabulary
LS141,Market Trends,Link,Link,1,Vocabulary
LS142,Consumer Behavior,Link,Link,1,Vocabulary
LS143,Corporate Responsibility,Link,Link,1,Vocabulary
LS144,Days of the week/ Months or seasons of the year,Link,Link,1,Vocabulary
LS145,Colour,Link,Link,1,Vocabulary
LS146,Languages,Link,Link,1,Vocabulary
LS147,Shapes,Link,Link,1,Vocabulary
LS148,Money matters,Link,Link,1,Vocabulary
LS149,Homes,Link,Link,1,Vocabulary
LS150,School and University ,Link,Link,1,Vocabulary
LS151,At the bank/ post office,Link,Link,1,Vocabulary
LS152,Rating and qualities,Link,Link,1,Vocabulary
LS153,Rooms in building,Link,Link,1,Vocabulary
LS154,Place markers,Link,Link,1,Vocabulary
LS155,Places on a map,Link,Link,1,Vocabulary
LS156,Weather,Link,Link,1,Vocabulary
LS157,Sports,Link,Link,1,Vocabulary
LS158,Expressions and time,Link,Link,1,Vocabulary
LS159,Event,Link,Link,1,Vocabulary
LS160,Infrastructure,Link,Link,1,Vocabulary
LS161,Shopping mall,Link,Link,1,Vocabulary
LS162,presentations ,Link,Link,1,Vocabulary
LS164,Assignments ,Link,Link,1,Vocabulary
LS165,Competition,Link,Link,1,Vocabulary
LS166,course,Link,Link,1,Vocabulary
LS167,gender equality,Link,Link,1,Vocabulary
LS168,Education examination,Link,Link,1,Vocabulary
LS169,Nature ,Link,Link,1,Vocabulary
LS170,Food processing   ,Link,Link,1,Vocabulary
LS171,Social issue   ,Link,Link,1,Vocabulary
LS172,Racial matter,Link,Link,1,Vocabulary
LS173,Agriculture,Link,Link,1,Vocabulary
LS174,History,Link,Link,1,Vocabulary
LS175,Animal,Link,Link,1,Vocabulary
LS176, Science,Link,Link,1,Vocabulary
LS177,Globalization,Link,Link,1,Vocabulary
LS178, Psychology ,Link,Link,1,Vocabulary
LS179,Traffic,Link,Link,1,Vocabulary
LS183,Media,Link,Link,1,Vocabulary
LS184,Crime,Link,Link,1,Vocabulary
LS185,Advice,Link,Link,1,Vocabulary
LS186,Art and culture,Link,Link,1,Vocabulary
LS187,Books,Link,Link,1,Vocabulary
LS188,"Business , Finance and Accounting",Link,Link,1,Vocabulary
LS189,Celebrations,Link,Link,1,Vocabulary
LS190,Childhood,Link,Link,1,Vocabulary
LS191,Climate,Link,Link,1,Vocabulary
LS192,Clothes and fashion,Link,Link,1,Vocabulary
LS193,Contryside,Link,Link,1,Vocabulary
LS194,Economics,Link,Link,1,Vocabulary
LS195,Family and Friends,Link,Link,1,Vocabulary
LS196,Feelings,Link,Link,1,Vocabulary
LS197,Food and Beverage,Link,Link,1,Vocabulary
LS198,Habits,Link,Link,1,Vocabulary
LS199,Holidays,Link,Link,1,Vocabulary
LS200,Music,Link,Link,1,Vocabulary
LS201,Photography,Link,Link,1,Vocabulary
LS202,Recycling,Link,Link,1,Vocabulary
LS203,Routines,Link,Link,1,Vocabulary
LS176,Science,Link,Link,1,Vocabulary
LS204,Social media,Link,Link,1,Vocabulary
LS205,Television,Link,Link,1,Vocabulary
LS206,Vocabulary describing trends,Link,Link,1,Vocabulary
LS210,Vocabulary describing the rate of change,Link,Link,1,Vocabulary
LS211,Describe the overall change,Link,Link,1,Vocabulary
LS212,Describe specific changes,Link,Link,1,Vocabulary
LS213,Vocabulary describing direction,Link,Link,1,Vocabulary
LS215,Connecting words indicate sequence,Link,Link,1,Vocabulary
LS216,Connecting words are complementary,Link,Link,1,Vocabulary
LS217,Connecting words have opposite meanings,Link,Link,1,Vocabulary
LS218,"The word connecting means comparing, comparing equally",Link,Link,1,Vocabulary
LS219,"Connecting words mean cause, effect, purpose",Link,Link,1,Vocabulary
LS220,Connecting words are used for conclusions and summaries,Link,Link,1,Vocabulary
LS221,Connecting words have a temporal nature,Link,Link,1,Vocabulary
LS222,Energy,Link,Link,1,Vocabulary
LS223,Military ,Link,Link,1,Vocabulary
LS224,Politics ,Link,Link,1,Vocabulary
LS225,Emotions,Link,Link,1,Vocabulary
LS226,Social Issues:,Link,Link,1,Vocabulary
LS600,Shipping and delivery,Link,Link,1,Vocabulary
LS601,Lifestyle,Link,Link,1,Vocabulary
LS602,Hobbies,Link,Link,1,Vocabulary
LS603,Accommodation,Link,Link,1,Vocabulary
